departamento_etl,ciudad_etl,periodo_etl,cont_co,cont_dviento,cont_haire10,cont_haire2,cont_no,cont_no2,cont_o3,cont_p,cont_pliquida,cont_pm10,cont_pm2.5,cont_pst,cont_rglobal,cont_ruvb,cont_so2,cont_taire10,cont_taire2,cont_vviento,periodo_censo_vehiculos,total_vehiculos,clases_distintas,antiguedad_promedio_flota,log_total_vehiculos,mes_numerico
antioquia,la estrella,2020-01,,,,,,,,,,36.0,12.323232323232324,,,,,,,,2026-04,194289,56,12.947222222222223,12.177107167237159,1
antioquia,la estrella,2021-01,,,,,,,,,,30.85,13.330769230769231,,,,,,,,2026-04,194289,56,12.947222222222223,12.177107167237159,1
antioquia,la estrella,2022-01,,,,,,,,,,35.82,15.504424778761061,,,,,,,,2026-04,194289,56,12.947222222222223,12.177107167237159,1
antioquia,la estrella,2023-01,,,,,,,,,,40.260000000000005,15.458333333333334,,,,,,,,2026-04,194289,56,12.947222222222223,12.177107167237159,1
antioquia,la estrella,2024-01,,,,,,,,,,63.795,14.453846153846154,,,,,,,,2026-04,194289,56,12.947222222222223,12.177107167237159,1
antioquia,marinilla,2022-01,,165.06302521008402,88.71428571428571,,,,,,0.05327731092436975,25.9,14.6,,,,,17.242857142857144,,1.169747899159664,2026-04,32672,37,22.589175891758916,10.394304327743797,1
antioquia,marinilla,2023-01,,159.49115044247787,84.15044247787611,,,,,594.8315044247788,0.17350877192982458,9.7,9.0,,,,,15.880701754385965,,0.8805309734513275,2026-04,32672,37,22.589175891758916,10.394304327743797,1
antioquia,medellin,2020-01,865.1879487179488,149.76273176761435,66.96808654496282,,19.24138198757764,25.17036111111111,22.48045101088647,590.2885349794238,0.004358552631578947,39.93072747014115,15.564824120603015,,192.5914778325123,,,19.05826650215916,,1.583955500618047,2026-04,403109,46,29.0253360910031,12.906964756537565,1
antioquia,medellin,2021-01,692.7709722222222,145.5632183908046,73.83037539103233,,21.95864168618267,23.933729977116705,16.80783653846154,615.2305109489051,0.022782503037667073,32.892082695252675,14.662127052105639,,,,,20.24118613138686,,1.335852442671984,2026-04,403109,46,29.0253360910031,12.906964756537565,1
antioquia,medellin,2022-01,599.0650793650793,140.4387369519833,76.17587244283996,,26.035048309178745,25.635720620842573,16.800224438902745,615.5648189415042,0.03970059880239521,36.65941573033708,18.437209125475285,,,,7.997872340425531,19.38018769551616,,1.3837395833333335,2026-04,403109,46,29.0253360910031,12.906964756537565,1
antioquia,medellin,2023-01,798.9732142857143,157.7944044044044,78.1211469072165,,28.916609589041094,33.136233766233765,21.318032786885244,617.4318263473054,0.1096790757381258,32.79445520581114,16.23054133138259,,,,3.1895714285714285,18.4790625,,1.0784142715559961,2026-04,403109,46,29.0253360910031,12.906964756537565,1
antioquia,medellin,2024-01,882.4350000000001,157.2241844660194,,70.56000970873787,29.31347967479675,27.468155339805826,27.109695512820515,614.4447911227154,0.0055294117647058825,34.290998003992016,17.47469364811692,,,,9.633424657534247,,20.794675701839303,1.7512318137730358,2026-04,403109,46,29.0253360910031,12.906964756537565,1
antioquia,puerto berrio,2020-01,,130.88177339901478,50.679802955665025,,,,,,,,12.024844720496894,,,,,30.396059113300492,,1.0514851485148515,2026-04,17422,16,28.15335463258786,9.765546451422905,1
antioquia,rionegro,2021-01,763.0713114754099,113.32116788321167,81.02919708029196,,,8.670588235294119,35.6453125,588.3260869565217,0.03700729927007299,20.19296875,10.375423728813558,,,,2.0238095238095237,18.464963503649635,,0.7547445255474453,2026-04,167531,36,25.314432989690722,12.028929656776649,1
antioquia,rionegro,2022-01,904.998,138.5670731707317,84.58271604938271,,,12.047899159663865,29.507894736842108,,0.0,22.11196581196581,12.64864864864865,,122.888,,2.019075630252101,17.1325,,0.7666666666666667,2026-04,167531,36,25.314432989690722,12.028929656776649,1
antioquia,sabaneta,2020-01,,163.3399014778325,66.51085570469799,,20.67909090909091,30.4728275862069,,629.4964444444445,0.015985221674876846,37.66142857142857,19.67733564013841,,,,,21.62646962233169,,1.1207730263157893,2026-04,761989,42,18.14807502467917,13.54368871122309,1
antioquia,sabaneta,2021-01,,166.07299270072994,79.54868613138686,,20.82544,22.083880597014925,,628.4237591240875,0.0368978102189781,31.6760162601626,15.843190661478598,,,,,20.181423357664233,,1.3306934306569345,2026-04,761989,42,18.14807502467917,13.54368871122309,1
antioquia,sabaneta,2022-01,,142.39425,79.08433333333333,,23.756071428571428,30.653660714285714,,627.4081666666666,0.08033613445378152,44.44,19.371076233183857,,,,,20.31275,,0.8484873949579832,2026-04,761989,42,18.14807502467917,13.54368871122309,1
